法人の名称フリガナ,法人の名称,ホームページアドレス,事業の種類
コウエキザイダンホウジンチトセシタイイクキョウカイ,公益財団法人千歳市スポーツ協会,http://www.chitose-taikyo.or.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンチバケンシガクキョウイクシンコウザイダン,公益財団法人千葉県私学教育振興財団,https://www.chiba-sksz.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンチュウオウキョウイクケンキュウジョ,公益財団法人中央教育研究所,https://www.chu-ken.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンツヤマスポーツシンコウザイダン,公益財団法人津山スポーツ振興財団,http://www.tvt.ne.jp/~sportska/zaidan/zaidan.top.html,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンツルオカシンヨウキンコガクジスポーツシンコウキキン,公益財団法人鶴岡信用金庫学事スポーツ振興基金,,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンデンツウミヤザキイクエイカイ,公益財団法人電通宮崎・育英会,,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジントウキョウオリンピックパラリンピックキョウギタイカイソシキイインカイ,公益財団法人東京オリンピック・パラリンピック競技大会組織委員会,,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジントウキョウカイジョウスポーツザイダン,公益財団法人東京海上スポーツ財団,https://www.tokiomarine-sports.or.jp/company/index.html,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジントウキョウトアイスホッケーレンメイ,公益財団法人東京都アイスホッケー連盟,http://tihf.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジントウキョウトキタクタイイクキョウカイ,公益財団法人東京都北区体育協会,https://kitacity-taikyo.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジントウキョウトシガクザイダン,公益財団法人東京都私学財団,https://www.shigaku-tokyo.or.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジントウキョウトジュウドウレンメイ,公益財団法人東京都柔道連盟,https://tojuren.or.jp/index.html,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジントウキョウトスイエイキョウカイ,公益財団法人東京都水泳協会,,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジントウキョウトスポーツキョウカイ,公益財団法人東京都スポーツ協会,http://www.tokyo-sports.or.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジントウキョウトナンシキヤキュウレンメイ,公益財団法人東京都軟式野球連盟,http://www.tnbb.or.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジントウキョウニーゼロニーゴーセカイリクジョウザイダン,公益財団法人東京２０２５世界陸上財団,https://worldathletics.org/jp/competitions/world-athletics-championships/tokyo25,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジントウキョウリクジョウキョウギキョウカイ,公益財団法人東京陸上競技協会,https://toriku.or.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジントクシマケンスポーツキョウカイ,公益財団法人徳島県スポーツ協会,http://www.awa-spo.net,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジントクシマシタイイクシンコウコウシャ,公益財団法人徳島市体育振興公社,http://www.tokushimacity-sports.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジントショカンシンコウザイダン,公益財団法人図書館振興財団,https://toshokan.or.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジントットリケンガッコウキュウショクカイ,公益財団法人鳥取県学校給食会,www.togk.or.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジントマコマイシスポーツキョウカイ,公益財団法人苫小牧市スポーツ協会,http://www.tspo.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジントヤマケンタイイクキョウカイ,公益財団法人富山県スポーツ協会,http://www.toyama-sports.or.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジントヤマシスポーツキョウカイ,公益財団法人富山市スポーツ協会,https://www.taikyou-toyama.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジントヨタシスポーツキョウカイ,公益財団法人豊田市スポーツ協会,http://www.toyota-taikyo.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジントヨハシシスポーツキョウカイ,公益財団法人豊橋市スポーツ協会,http://toyohashi-sports.or.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンナガサキケンシリツガッコウタイショクキンザイダン,公益財団法人長崎県私立学校退職金財団,,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンナガサキケンスポーツキョウカイ,公益財団法人長崎県スポーツ協会,http://nagasakiken-sports.com/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンナカトミスポーツシンコウザイダン,公益財団法人中冨スポーツ振興財団,https://www.nakatomi-sports.or.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンナガノケンショウガイシャスポーツキョウカイ,公益財団法人長野県障がい者スポーツ協会,https://www.nsad.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンナガノケンスポーツキョカイ,公益財団法人長野県スポーツ協会,http://www.nagano-sports.or.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンナガノシスポーツキョウカイ,公益財団法人長野市スポーツ協会,http://www.nagano-taikyo.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンナメリカワシスポーツキョウカイ,公益財団法人滑川市スポーツ協会,https://www.n-sports.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンナラケンガッコウキュウショクカイ,公益財団法人奈良県学校給食会,http://www.nara-kyushoku.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンナンエイイクエイカイ,公益財団法人南英育英会,,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンニイガタキョウイクカイ,公益財団法人新潟教育会,http://kyouikukai.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンニイガタケンガッコウキュウショクカイ,公益財団法人新潟県学校給食会,http://www.n-kenkyu.or.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンニイガタケンスポーツシンコウヨネヤマミノルザイダン,公益財団法人新潟県スポーツ振興米山稔財団,http://yoneyamaminoru-f.org,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンニイガタケンリツタカダコウトウガッコウショウガクカイ,公益財団法人新潟県立高田高等学校奨学会,,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンニシノミヤスポーツセンター,公益財団法人西宮スポーツセンター,https://nsc-sports.net,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンニッテツコウギョウショウガクカイ,公益財団法人日鉄鉱業奨学会,https://www.nittetsukou-shougakukai.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンニッポンアイスホッケーレンメイ,公益財団法人日本アイスホッケー連盟,https://www.jihf.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンニホンアンチドーピングキコウ,公益財団法人日本アンチ・ドーピング機構,https://www.playtruejapan.org/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンニホンオリンピックイインカイ,公益財団法人日本オリンピック委員会,https://www.joc.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンニホンガクセイヤキュウキョウカイ,公益財団法人日本学生野球協会,http://www.student-baseball.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンニホンガッコウタイイクケンキュウレンゴウカイ,公益財団法人日本学校体育研究連合会,http://www.gakutairen.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンニホンガッコウホケンカイ,公益財団法人日本学校保健会,https://www.hokenkai.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンニホンキツオンガクイン,公益財団法人日本吃音学院,,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンニホンゲートボールレンゴウ,公益財団法人日本ゲートボール連合,https://www.gateball.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンニホンサイクリングキョウカイ,公益財団法人日本サイクリング協会,http://www.j-cycling.or.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンニホンスイエイレンメイ,公益財団法人日本水泳連盟,http://www.swim.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンニホンスケートレンメイ,公益財団法人日本スケート連盟,http://skatingjapan.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンニホンスポーツキョウカイ,公益財団法人日本スポーツ協会,http://www.japan-sports.or.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンニホンスポーツシセツキョウカイ,公益財団法人日本スポーツ施設協会,http://www.jp-sfa.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンニホンスポーツチュウサイキコウ,公益財団法人日本スポーツ仲裁機構,http://www.jsaa.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンニホンスモウレンメイ,公益財団法人日本相撲連盟,http://www.nihonsumo-renmei.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンニホンセーリングレンメイ,公益財団法人日本セーリング連盟,http://www.jsaf.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンニホンソフトボールキョウカイ,公益財団法人日本ソフトボール協会,http://www.softball.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンニホンテニスキョウカイ,公益財団法人日本テニス協会,https://www.jta-tennis.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンニホンテニスジョセイザイダン,公益財団法人日本テニス助成財団,http://www.jtf.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンニホンバウンドテニスキョウカイ,公益財団法人日本バウンドテニス協会,https://boundtennis.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンニホンバスケットボールキョウカイ,公益財団法人日本バスケットボール協会,http://www.japanbasketball.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンニホンパラスポーツキョウカイ,公益財団法人日本パラスポーツ協会,http://www.parasports.or.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンニホンハンドボールキョウカイ,公益財団法人日本ハンドボール協会,http://www.handball.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンニホンヤキュウレンメイ,公益財団法人日本野球連盟,http://www.jaba.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンニホンラグビーフットボールキョウカイ,公益財団法人日本ラグビーフットボール協会,http://www.rugby-japan.or.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンニホンリクジョウキョウギレンメイ,公益財団法人日本陸上競技連盟,https://www.jaaf.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンニュウゼンマチタイイクキョウカイ,公益財団法人入善町体育協会,http://www.town.nyuzen.toyama.jp/jim/synthesisgym.jsp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンハカタエキチクトチクカクセイリキネンカイカン,公益財団法人博多駅地区土地区画整理記念会館,http://www.kinenkaikan.org,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンパナソニックキョウイクザイダン,公益財団法人パナソニック教育財団,https://www.pef.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンハママツコドモエン,公益財団法人浜松こども園,http://park19.wakwak.com/~kodomoen/index.html,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンバレーボールキョウカイ,公益財団法人東京都バレーボール協会,http://tokyo-mva.com/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンヒガシネシスポーツキョウカイ,公益財団法人東根市スポーツ協会,http://www.higashine-taikyo.com/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンヒミシタイイクキョウカイ,公益財団法人氷見市体育協会,http://www.sports-himi.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンヒョウゴケンバジュツレンメイ,公益財団法人兵庫県馬術連盟,http://www.hyogobaren.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンヒロサキシスポーツキョウカイ,公益財団法人弘前市スポーツ協会,https://www.hirosaki-taikyo.com,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンヒロシマケンシリツヨウチエンレンメイ,公益財団法人広島県私立幼稚園連盟,https://www.hiroshima-kenyo.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンヒロシマケンスポーツシンコウザイダン,公益財団法人広島県スポーツ振興財団,http://www.sports-hiroshima.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンヒロシマケンセーリングレンメイ,公益財団法人広島県セーリング連盟,http://www.jsaf.or.jp/hiroshima/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンヒロシマシスポーツキョウカイ,公益財団法人広島市スポーツ協会,http://www.sports-or.city.hiroshima.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンフクオカケンガッコウキュウショクカイ,公益財団法人福岡県学校給食会,https://www.fukukyuu.or.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンフクオカケンスポーツスイシンキキン,公益財団法人福岡県スポーツ推進基金,https://fukuokasports.org,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンフクオカシガッコウキュウショクコウシャ,公益財団法人福岡市学校給食公社,https://www.f-gk.or.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンフクオカシスポーツキョウカイ,公益財団法人福岡市スポーツ協会,http://www.sports-fukuokacity.or.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンフクオカショウガクカイ,公益財団法人福岡奨学会,http://www.kitadazaidan.or.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンフクオカナンエイイクエイカイ,公益財団法人福岡南英育英会,,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンフクシマカガクシンコウキョウカイ,公益財団法人ふくしま科学振興協会,http://www.mushitec-fukushima.gr.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンフクシマケンスポーツシンコウキキン,公益財団法人福島県スポーツ振興基金,http://www.fss-kikin.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンフクシマシスポーツシンコウコウシャ,公益財団法人福島市スポーツ振興公社,https://www.sportspc.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンフクダコウタロウスポーツシンコウザイダン,公益財団法人福田孝太郎スポーツ振興財団,https://www.fukudasports.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンフナイユキオキネンカン,公益財団法人舩井幸雄記念館,http://funaimemorial.com/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンフルカワタイイクキョウカイ,公益財団法人古川体育協会,http://www.osaki-taikyo.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンボウチョウキョウイクカイ,公益財団法人防長教育会,http://www.bouchou-kyouiku.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンボウチョウクラブ,公益財団法人防長倶楽部,http://www.bochoclub.com/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンホッカイドウガッコウキュウショクカイ,公益財団法人北海道学校給食会,https://hgk.or.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンホッカイドウショウガイガクシュウキョウカイ,公益財団法人北海道生涯学習協会,http://www.hsgk.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンホッカイドウスキーレンメイ,公益財団法人北海道スキー連盟,http://www.ski-hokkaido.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンマツエタイイクキョウカイ,公益財団法人松江体育協会,https://www.matsue-sport.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンマニワスポーツシンコウザイダン,公益財団法人真庭スポーツ振興財団,https://www.maniwa-sports.net/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンミキシスポーツシンコウキキン,公益財団法人三木市スポーツ振興基金,http://www2.city.miki.lg.jp/miki.nsf/doc/shinko_kikin?OpenDocument,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンミサワジュウドウキョウカイ,公益財団法人三沢柔道協会,,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンミズノスポーツシンコウザイダン,公益財団法人ミズノスポーツ振興財団,https://corp.mizuno.com/jp/zaidan,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンミズホイクエイカイ,公益財団法人みずほ育英会,,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンミトシスポーツシンコウキョウカイ,公益財団法人水戸市スポーツ振興協会,https://maas.or.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンミヤザキケンシガクシンコウカイ,公益財団法人　宮崎県私学振興会,http://www.miyazaki-shigaku.com/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンミヤザキケンスポーツキョウカイ,公益財団法人宮崎県スポーツ協会,http://www.miyazakiken-taikyo.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンミヤザキケンスポーツシセツキョウカイ,公益財団法人宮崎県スポーツ施設協会,http://www.miyazaki-spokyo.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンミンカンホウソウキョウイクキョウカイ,公益財団法人民間放送教育協会,http://www.minkyo.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンモリキョウイクシンコウカイ,公益財団法人森教育振興会,,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンヤナガワロータリークラブコンドウ・タケシタ・オキショウガクカイ,公益財団法人柳川ロータリークラブ近藤・竹下・沖奨学会,,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンヤマガタキョウイクシンコウザイダン,公益財団法人やまがた教育振興財団,,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンヤマガタシスポーツキョウカイ,公益財団法人山形市スポーツ協会,http://yamagatasi-taikyou.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンヤマグチケンシリツヨウチエンキョウカイ,公益財団法人山口県私立幼稚園協会,http://www.kindergarten.or.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンヤマナシケンスポーツキョウカイ,公益財団法人山梨県スポーツ協会,http://www.sports.pref.yamanashi.jp/ysi_wdm/html/taikyo/index.html,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンヤマナシケンバジシンコウセンター,公益財団法人山梨県馬事振興センター,http://www.nns.ne.jp/ass/baji/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンユーハイムタイイクスポーツシンコウカイ,公益財団法人ユーハイム体育・スポーツ振興会,http://juchheim-sport.com/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンヨウロウチョウスポーツレンメイ,公益財団法人養老町スポーツ連盟,http://www.plusnetweb.com/ythp2009/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンヨコハマシスポーツキョウカイ,公益財団法人横浜市スポーツ協会,http://www3.yspc.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンヨコヤマエイジュウロウキネンカイ,公益財団法人横山栄十郎記念会,https://www.eijurou-kinenkai.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンヨネックススポーツシンコウザイダン,公益財団法人ヨネックススポーツ振興財団,https://www.yonexsports-f.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンランナーズザイダン,公益財団法人ランナーズ財団,https://runners.or.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンワールドマスターズゲームズニセンニジュウイチカンサイソシキイインカイ,公益財団法人ワールドマスターズゲームズ２０２１関西組織委員会,http://www.wmg2021.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンワカヤマケンジュウドウレンメイ,公益財団法人和歌山県柔道連盟,,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
