,法人の名称フリガナ,法人の名称,ホームページアドレス,事業の種類
1,コウエキザイダンホウジンヨークベニマルブンカキョウイクジギョウザイダン,公益財団法人ヨークベニマル文化教育事業財団,http://www.ybfoundation.or.jp,"児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
0,コウエキシャダンホウジンニホンコクサイセイカツタイケンキョウカイ,公益社団法人日本国際生活体験協会,https://www.eiljapan.org,"児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
0,コウエキシャダンホウジンワンアジア,公益社団法人ＯＮＥ　ＡＳＩＡ,https://www.oneasia-japan.org/,"児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
0,ムギシマザイダン,公益財団法人麦島財団,https://mugishimafoundation.jp/,"児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
0,コウエキザイダンホウジントウキョウザイダンセイサクケンキュウショ,公益財団法人東京財団政策研究所,https://www.tkfd.or.jp/,"児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
国政の健全な運営の確保に資することを目的とする事業
地域社会の健全な発展を目的とする事業"
0,コウエキシャダンホウジン　トウキョウセイネンカイギショ,公益社団法人東京青年会議所,http://www.tokyo-jc.or.jp,"児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
国政の健全な運営の確保に資することを目的とする事業
地域社会の健全な発展を目的とする事業"
0,コウエキシャダンホウジンフクロイセイネンカイギショ,公益社団法人袋井青年会議所,http://www.fukuroi-jc.jp/,"児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
国政の健全な運営の確保に資することを目的とする事業
地域社会の健全な発展を目的とする事業"
0,コウエキザイダンホウジンイオンワンパーセントクラブ,公益財団法人イオンワンパーセントクラブ,http://www.aeon.info/1p,"児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
地域社会の健全な発展を目的とする事業"
0,コウエキザイダンホウジントダカイクエイカイ,公益財団法人戸高育英会,http://www.todaka-ikueikai.org/,"児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
地域社会の健全な発展を目的とする事業"
0,コウエキザイダンホウジンフクイケングローバルジンザイキキン,公益財団法人福井県グローバル人材基金,https://fukui-global-fund.jp/,"児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
地域社会の健全な発展を目的とする事業"
0,コウエキシャダンホウジンイチノミヤセイネンカイギショ,公益社団法人一宮青年会議所,http://www.ichinomiya-jc.or.jp/,"児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
地域社会の健全な発展を目的とする事業"
0,コウエキシャダンホウジンタカマツセイネンカイギショ,公益社団法人高松青年会議所,http://takamatsu-jc.com/,"児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
地域社会の健全な発展を目的とする事業"
0,コウエキシャダンホウジンタチカワセイネンカイギショ,公益社団法人立川青年会議所,http://www.tachikawajc.or.jp/,"児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
地域社会の健全な発展を目的とする事業"
0,コウエキシャダンホウジンフクイシミンコクサイコウリュウキョウカイ,公益社団法人ふくい市民国際交流協会,www.fcia.jp,"児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
地域社会の健全な発展を目的とする事業"
0,コウエキシャダンホウジンベップセイネンカイギショ,公益社団法人別府青年会議所,http://www.beppujc.com,"児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
地域社会の健全な発展を目的とする事業"
0,コウエキザイダンホウジンジャルザイダン,公益財団法人ＪＡＬ財団,http://www.jal-foundation.or.jp/,"児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
地球環境の保全又は自然環境の保護及び整備を目的とする事業"
0,コウエキシャダンホウジンソウカセイネンカイギショ,公益社団法人草加青年会議所,http://www.soka.or.jp,"児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
地球環境の保全又は自然環境の保護及び整備を目的とする事業
地域社会の健全な発展を目的とする事業"
0,コウエキザイダンホウジンカネコイワゾウショウガクザイダン,公益財団法人金子岩三奨学財団,https://www.kaneko.gr.jp/zaidan/,"児童又は青少年の健全な育成を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
