大学名,Latitude,Longitude,,,,
Aalto University,no data found,no data found,,,,
Adrian College,41.8987054,-84.0592414,,,,
Agnes Scott College,#ERROR!,-84.2945346,,,,
Ajou University,37.2820187,127.0463409,,,,
Alabama A&M University,34.7838409,-86.5722237,,,,
Albertus Magnus College,41.3316093,#ERROR!,,,,
Allegheny College,41.6484557,-80.1455328,,,,
American College Dublin,53.3411883,-6.2504237,,,,
American University,38.9380155,#ERROR!,,,,
American University in Dubai,25.0907125,55.157147,,,,
American University of Sharjah,25.3115602,55.4926503,,,,
Amherst College,42.3709104,-72.5170028,,,,
Antioch College,39.7998582,-83.8887355,,,,
Aquinas College,42.9606096,#ERROR!,,,,
Arkansas State University,35.8430861,#ERROR!,,,,
Arkansas Tech University,#ERROR!,-93.1361472,,,,
Ashland University,#ERROR!,-82.3231533,,,,
Asia University in Taiwan,24.0461479,#ERROR!,,,,
Augustana College,41.5030042,#ERROR!,,,,
Azusa Pacific University,34.1300755,-117.8883593,,,,
Babson College,#ERROR!,-71.2649202,,,,
Bard College,42.0230728,-73.909314,,,,
Bard College at Simon's Rock,42.2087695,-73.3804375,,,,
Bard College Berlin,52.5843043,13.3937208,,,,
Barnard College,40.8095133,-73.9633969,,,,
Barry University,25.8789241,-80.1981793,,,,
Barton College,#ERROR!,-77.9131567,,,,
Bates College,#ERROR!,-70.2021865,,,,
Bay Path University,42.0555615,-72.5838321,,,,
Baylor University,31.5500848,-97.11354,,,,
Beijing Language and Culture University,#ERROR!,116.345897,,,,
Bellarmine University,38.2184939,-85.7055271,,,,
Beloit College,42.5030333,-89.0309048,,,,
Benedictine College,#ERROR!,-95.1123761,,,,
Bennington College,42.9203078,#ERROR!,,,,
Berea College,37.570585,-84.288969,,,,
Berklee College of Music,42.3465952,#ERROR!,,,,
Bilkent University,#ERROR!,32.7498917,,,,
Boise State University,#ERROR!,-116.2009765,,,,
Boston University,#ERROR!,#ERROR!,,,,
Bowdoin College,43.9076929,-69.9639971,,,,
Boyce College,#ERROR!,-85.685491,,,,
Brandeis University,#ERROR!,-71.2586437,,,,
Briar Cliff University,42.5270102,-96.4270388,,,,
Brigham Young University,40.2518435,-111.6493156,,,,
Brown University,#ERROR!,-71.4025482,,,,
Bryn Mawr College,#ERROR!,-75.3144595,,,,
Bucknell University,40.9547722,-76.8850759,,,,
California Institute of Technology,34.1376576,-118.125269,,,,
California Lutheran University,#ERROR!,#ERROR!,,,,
Cameron University,#ERROR!,-98.436244,,,,
Campbellsville University,37.3430682,#ERROR!,,,,
Capital University,39.9551049,-82.9375379,,,,
Carleton College,#ERROR!,-93.1559742,,,,
Carnegie Mellon University in Qatar,25.316422,51.4401857,,,,
Carthage College,42.6234374,-87.8220236,,,,
Case Western Reserve University,41.5043413,-81.6083838,,,,
Catawba College,#ERROR!,#ERROR!,,,,
Cedar Crest College,40.5859377,-75.5196631,,,,
Cedarville University,39.7495287,#ERROR!,,,,
Central Methodist University,39.1489094,-92.6840726,,,,
Central Michigan University,43.5822124,#ERROR!,,,,
Central State University,39.7169812,-83.8774384,,,,
Central Washington University,#ERROR!,#ERROR!,,,,
Centre College,37.6457165,#ERROR!,,,,
Chatham University,#ERROR!,-79.9242853,,,,
Christendom College,38.9497286,-78.146118,,,,
Chung-Ang University,#ERROR!,#ERROR!,,,,
City University of Hong Kong,22.3370342,114.17272,,,,
Claremont McKenna College,#ERROR!,-117.7065073,,,,
Clark University,#ERROR!,#ERROR!,,,,
Clarke University,42.5094137,-90.6914474,,,,
Cleveland Institute of Music,#ERROR!,-81.6088242,,,,
Coe College,#ERROR!,#ERROR!,,,,
Colby College,44.5638691,#ERROR!,,,,
Colgate University,42.8155894,-75.5407355,,,,
